Organization,Website,Status
AmeriCorps,https://www.americorps.gov/,live
AmeriCorps National Service,https://americorps.gov/,live
AmeriCorps of McHenry County,https://my.americorps.gov/mp/listing/viewListing.do?id=33950,live
America Learns,https://americalearns.net/index.cfm?event=page.sessionwarning,live
AmericaEnEspanol com,https://www.allbiz.com/business/americaenespanol-com-312-513-8441,unverified
American Educare,https://www.tiktok.com/@britishamericaned,live
American Express Tax and Business,https://www.aurigininc.com/c/American-Express-Tax-and-Business-Services-Inc/United-States-of-America/m2euk,live
American Friends Services,https://archive.org/stream/AmericanFriendsServiceCommittee/American+Friends+Service+Committee+02_djvu.txt,live
American Indian Center,https://aicchicago.org/,live
American Indian Health Services,https://www.ihs.gov/Urban/urban-indian-organizations/california/,live
American Intercontinental University,https://web.archive.org/web/20110902121519/http://www.la.aiuniv.edu/,archived
American National Bank & Trust Co of Chicago,https://discovery.patsnap.com/company/american-national-bank/,live
American Statistical Association,https://www.eia.gov/calendar/asa/040908.doc,live
Americas Promise: The Alliance For Youth,https://www.gatesfoundation.org/about/committed-grants/2007/05/opp48357,live
Ameritech,https://www3.ameritechenergy.com/,live
Anixter Center,https://anixter.org/,live
Annointed Word,https://www.anointedwordlc.org/,live
Answers for Special Kids,https://helpmegrowwa.org/resource/ask-rack-card-answer-for-special-kids,live
Ante Up Charitable Games,,not found
"Anti-Defamation League, A World of Difference",https://prezi.com/tgexb2tlmdfu/the-anti-defamation-league/,live
Apostolic Pentecostal Church of Morgan Park,https://www.apcmorganpark.org/,live
Appleton Area School District,https://www.aasd.k12.wi.us/,live
Applied Scholastic,https://www.able.org/our-programs/applied-scholastics/,live
"Archdiocese of Chicago, Family Ministries",https://www.holyfamilyparish.org/responding-to-domestic-violence-in-our-community/,live
Area Education Agency 13,https://www.kurzweiledu.com/files/Profile_Sheet_Rachow_Roger.pdf,live
Area Neighborhood Block Clubs,https://www.bizapedia.com/il/area-neighborhood-block-clubs.html,live
Ariel Education,https://www.arieleducationinitiative.org/,live
Ariel Education Initiative,https://www.arieleducationinitiative.org/,live
"Ariel Education Initiative, Afterschool Program",https://www.arieleducationinitiative.org/about,live
Ariel Foundation,https://www.ariel-foundation.org/,live
Ariel Foundation “I Have a Dream” Mentoring Program,,not found
Arizonans for Children,https://arizonansforchildren.org/programs/,live
Ark Productions,https://ark-productions.com/,live
Ark of St Sabina,,not found
Arts Partners,https://artspartners.net/,live
Ashburns Direct Action,http://web.archive.org/web/19980207043332/crash.ihug.co.nz/complete.html,archived
Ashburns Direct Action Coalition-Youth Initiative,,not found
Asian Human Services Americorps PASS Tutoring,,not found
Asian Human Services SAFE Mentoring Program,https://mgoblue.com/,live
"Aspira, Inc. of Illinois",https://www.incschools.org/network/aspira-2/,live
Aspirations of Life,https://aspirationsoflife.site123.me/the-founder/the-founder,live
Associated Colleges of Illinois,https://acifund.org/,live
Association House,https://www.associationhouse.org/hs-forms-landing-page,live
Association House of Chicago,https://www.associationhouse.org/,live
Association for Better Living (A B L E ),https://web.archive.org/web/20171113160058/https:/publications.mi.byu.edu/fullscreen/?pub=1107&index=26,archived
Athletes Committed to Educating Students (A.C.E.S),https://www.volunteermatch.org/search/org7016.jsp,live
Athletes in Business for Kids,https://web.archive.org/web/20141003104113/https:/www.nytimes.com/2014/09/28/fashion/arianna-huffington-kobe-bryant-meditate.html,archived
Attorney at Law,https://www.attorneyatlaw.com/,live
Aunt Marthas Youth Service Center,https://www.auntmarthas.org/,live
Aurora Quad County Urban League Teamtech Team Quality of Life,https://www.qcul.org/,live
Aurora University,https://online.aurora.edu/about/online-student-experience/,live
Austin Messiah Lutheran Church (Vision Chicago World Vision),,not found
Austin Peoples Action Center,https://linktr.ee/apaccenter.org,live
Austin YMCA,https://www.austinymca.org/,live
B.E. S. T. Temple Adult Education Program,http://web.archive.org/web/20061212165625/www.nisbco.org/biblio_A-H.htm,archived
B.O.S.S. - EXCEL,https://web.archive.org/web/20150314044423/wanderingbarque.com/nonintersecting/2006/11/15/the-s-stands-for-simple/,archived
B.O.S.S. EXCEL,https://excel.cloud.microsoft/en-us/,live
B.U.I.L.D,https://fl-homestead.civicplus.com/35/How-Do-I,live
B.U.I.L.D. Inc.,http://web.archive.org/web/19981205013915/www.sgi.net/bluestraveler/,archived
BAC Partners,https://www.bacpartners.com/,live
BBCC Pad,,not found
"BUILD, Inc.",https://me.muz.li/wavespaceagency/build-inc-ai-website-builder-platform-2,live
Ball State University,https://ballstatesports.com/sports/womens-volleyball/schedule/2014,live
Band Digital,https://www.amazon.com/dot-Band-Digital-Business-Wristband/dp/B0CP9XWZLQ,live
Banner Academy West,https://schoolreports.cps.edu/EFMP/EFMP_BANNER-ACADEMY-WEST-HS_610555.pdf,live
Banner Learning Corp,https://www.idealist.org/en/nonprofit/0ca46de6e7804564a020eaa9d687118e-banner-learning-corp-boca-raton,live
Barnes Jewish Hospital Volunteer and Service Resources,,not found
Be True Be U Girls Movement,https://mgoblue.com/,live
Becoming We the People,https://www.idealist.org/en/nonprofit/ec3f263a3d2143c799257ce2a42021d5-becoming-we-the-people-chicago,live
Beethoven Elementary School,https://www.bostonpublicschools.org/Page/774,live
Bell Campaign,https://sfgd.org/bell/,live
Beloved Community Family Services,https://www.idealist.org/en/nonprofit/518bd3ca245f4bdf9fc54488d1a231c2-beloved-community-family-services-chicago,live
Berea College,https://www.berea.edu/,live
Berrien County Trial Court Youth Service Bureau,https://mgoblue.com/,live
Berwyn Public Library,https://berwynlibrary.org/,live
Best Friends Mentoring,https://www.idealist.org/en/nonprofit/3e79c5ecd73b4d66aa05f274de3e41ee-best-friends-mentoring-dickinson,live
Best Practice High School,https://www.publicschoolreview.com/best-practice-high-school-profile,live
Best Practice Training and Consulting Services,https://mgoblue.com/,live
Beth Israel Medical Center Training Department,https://mgoblue.com/,live
Bethany Brethern Community Center,,not found
Bethel New Life,https://bethelnewlifecollege.org/,live
Better Boys Foundation,https://www.macfound.org/grantee/better-boys-foundation-600/,live
Better Decisions,https://countrylowdown.com/2026/03/31/better-decisions-celebrates-40th-anniversary-with-strategic-nashville-community-event/,live
Beulah A G Smith Scholarship Foundation,https://www.aidschicago.org/resources/legacy/pdf/advocacy/district+14+fact+sheet+2013.pdf,unverified
Beyond Expectations,https://www.booking.com/hotel/us/a-little-bit-of-country-by-beyond-expectations.en-gb.html,live
Beyond Sports,https://www.beyondsportstours.com/blog,live
Bhakti Yoga Society NFP,https://greatnonprofits.org/org/bhakti-yoga-society-nfp,live
Big Brothers Big Sisters,https://bigstri.org/,live
Big Brothers Big Sisters Metro Chicago,https://bbbschgo.org/event/giving-tuesday-2019/,live
Big Brothers Big Sisters of America,https://www.bbbs.org/get-involved/become-a-big/,live
"Big Brothers Big Sisters of Berks County, PA - Smart Program",,not found
Big Brothers Big Sisters of Central Indiana,https://www.bebigforkids.org/,live
Big Brothers Big Sisters of Iowa,https://www.bbbsia.org/,live
Big Brothers Big Sisters of Metro Chicago,https://www.eventbrite.com/o/big-brothers-big-sisters-of-metro-chicago-30239213070,live
Big Brothers Big Sisters of Metropolitan Chicago,https://bbbschgo.org/,live
Big Brothers Big Sisters of Mid Illinois,https://www.findglocal.com/US/Charleston/191095660927545/Mid-Illinois-Big-Brothers-Big-Sisters,live
Big Brothers Big Sisters of Missippi Valley,https://www.bbbsmv.org/beabig/,live
Big Brothers Big Sisters of Muscatine County,https://www.muscatiney.org/about-us/,live
Big Brothers Big Sisters of the Siouxland,https://bigbrothersbigsisters.com/child-enrollment-form/,live
Big Brothers and Big Sisters of Metro Chicago,https://bbbschgo.org/,live
Big Brothers and Big Sisters of Metropolitan Chicago,https://abc7chicago.com/post/big-brothers-big-sisters-program-in-desperate-need-of-mentors-/2782205/,live
"Big Brothers, Big Sisters of Lake County",https://www.slideshare.net/slideshow/big-brothers-big-sisters-helping-young-children-since-1904/62427385,live
"Big Brothers, Big Sisters of Metropolitan Chicago",https://bbbschgo.org/,live
"Big Brothers, Big Sisters of Northwest Illinois",https://spaday.fhn.org/docs/Insight_V5_5_2014.pdf,unverified
"Big Brothers, Big Sisters of Rock Walworth & Jefferson Counties WI",,not found
"Big Brothers, Big Sisters of the Mississippi Valley",https://www.bbbsmv.org/,live
Big Brothers/Big Sisters  of Metropolitan Chicago,https://bbbschgo.org/,live
Big Brothers/Big Sisters of McHenry County,https://bbbsmchenry.org/,live
Big Brothers/Big Sisters of Metropolitan Chicago,https://bbbschgo.org/about/,live
Big Brothers/Big Sisters of Metropolitan Chicago - Chicago Mentoring Institute,https://web.archive.org/web/20070626214753/http://www.bigbrothersbigsister.org:80/,archived
"Big Brothers/Big Sisters of Metropolitan Chicago, Inc.",https://web.archive.org/web/20070626214753/http://www.bigbrothersbigsister.org:80/,archived
Big Brothers/Big Sisters of Will & Grundy Counties,https://bbbswillgrundy.org/,live
Big Picture High School,https://welte.ffc8.org/,live
Black Data Processing Associates,https://acronyms.thefreedictionary.com/Black+Data+Processing+Associates,live
Black Star Project,https://www.blackstarproject.org/2021/blog-post-title-one-r9rcr-ejjw4-54mwt-mrmcc-3zzpn-7wpt9,live
Black United Fund of Illinois,https://bufi.org/,live
Black Youth in Action,https://www.gbymca.org/programs/youth-and-adult-classes/black-youth-in-action/,live
Blaine School,https://www.blainesd.org/page/about-the-district,live
Blessed Sacrament Youth Center Summit Tutoring Program,https://beard.cps.edu/31720/Resources+by+neighborhood.pdf,unverified
Blue Gargoyle,https://bgchicago.org/about/,live
Bluhm Legal Clinic Northwestern University Law School Children and Family Justice Center,https://snu.edu.in/,live
Bold Agenda,https://www.theboldagenda.org/,live
Book Worm Angels,https://www.idealist.org/en/nonprofit/a625609fd62e4280bfbcac66c5acfae8-book-worm-angels-chicago,live
Bounce for Joy Project Mentor Department,https://mgoblue.com/,live
Boys 2 Men,https://www.boys2menyouthmentoring.com/,live
Boys Hope Girls Hope,https://hopeignitesneworleans.org/,live
Boys Hope/Girls Hope,https://hopeignites.org/about/,live
Boys and Girls Club of Chicago,https://bgcc.org/pressroom/,live
Boys and Girls Club of Schenectady,https://afterschoolprograms.us/program-646949-Boys_and_Girls_Club_of_Schenectady_@_Steinmetz_Homes.html,live
Boys and Girls Clubs of Chicago,https://www.mchap.co/mchap-2024-projects/boys-and-girls-clubs-of-chicago-rusu-mccartin-club,live
Boys and Girls Clubs of Chicago - Valentine Club After School Tutoring,,not found
Boys to Men Mentorship Program Donald Peterson Foundation,,not found
Brain Booster After School,https://draugies.wordpress.com/2013/03/28/crosby-water-procession/,live
Brain Boosters,https://www.consumerhealthdigest.com/brain-health/best-brain-supplements.html,live
Brain Hurricane,https://www.brainhurricane.com/,live
Braininsights,https://www.pinterest.com/braininsights/,live
Breakthrough Urban Ministries,https://www.vcbweb.org/breakthrough-urban-ministries,live
Bremen Youth Services,https://www.opencounseling.com/united-states/oak-forest/counseling-agency/bremen-youth-services,live
Bridges to the Future Wells Community High School,http://web.archive.org/web/20100418194227/meta.stackexchange.com/questions/5534/proposal-for-mathematics-se,archived
Brookfield Zoo,https://www.brookfieldzoo.org/visit,live
Building Leaders,https://www.dpgr.org/building-leaders-building-community,live
Bureau of Public Safety,https://www.dps.texas.gov/,live
Burnham School,https://sbschool.org/,live
Butterfly Coaching,https://www.butterflycoaching.co/why-jerome-for-life-coaching.html,live
C.A.U.S.E.S.,https://prezi.com/lt8w5gh2j-wz/abnormal-behaviour/,live
C.Y.C.L.E.,https://cyleyoung.com/,live
CAAELII Adult Education,,not found
CAPS Community Organiution,,not found
CC-T/MC,http://cabrinifundraising.blogspot.com/,live
CDW Wharehouse,https://www.cdw.com/,live
CEP Youth Leadership,http://www.rainbie.com/hauntedmanorcepyl/,live
CHA Residents Who Care,https://www.pacermonitor.com/public/filings/DPVWVPFQ/The_Bon-Ton_Stores_Inc__debke-18-10248__0021.0.pdf,live
CLUSTER Tutoring Program/Learning Edge Tutoring,,not found
CMHC Research Division,https://www.aivc.org/sites/default/files/members_area/medias/pdf/Conf/1989/Fugler.pdf,live
CNA Insurance Companies,https://www.merritthallins.com/links/,live
CNY Enterprises,https://ttoday.net/goldengatebridal-cny.com,live
CPS Educational Support for Students in Temp Living Situations,,not found
CYCLE,https://www.sscycle.com/,live
"Cabrini Connectgions, Tutor/Mentor Connection",,not found
Cabrini Connections,https://www.villanova.edu/university/alumni/connect/cabrini-alumni-and-friends.html,live
"Cabrini Connections , Tutor/Mentor Connection",https://tutormentorconnection.ning.com/profiles/blogs/list/tag/blog,live
Cabrini Connections - Kids’ Connection,https://tutormentor.blogspot.com/2022/09/tutormentor-connection-vision-2001.html,live
"Cabrini Connections, Kid's Connection",https://www.nytimes.com/games/connections,live
"Cabrini Connections, Tutor/Mentor Connection",https://tutormentorconnection.ning.com/profiles/blogs/list/tag/blog,live
Cabrini Connections- Tutor/Mentor Connection,https://tutormentorconnection.ning.com/profiles/blogs/list/tag/blog,live
Cabrini Connections-Tutor/Mentor Connection,https://tutormentorconnection.ning.com/profiles/blogs/list/tag/blog,live
Cabrini Green Tutoring Program / Tutoring Chicago,https://cloztalk.com/collections/tutoring-chicago,live
"Cabrini Green Tutoring Program, Inc",https://www.idealist.org/en/nonprofit/2c29061ed29747ccaa80169329faf0cf-cabrini-green-tutoring-program-inc-chicago,live
"Cabrini Green Tutoring Program, Inc. - Tutoring Chicago",https://mgoblue.com/,live
"Cabrini Green Tutoring Program, Inc., - Tutoring Chicago",https://mgoblue.com/,live
"Cabrini Green Tutoring Program, Inc., / Tutoring Chicago",,not found
"Cabrini Green Tutoring Program, Inc., CGTP, Inc",https://web.archive.org/web/20000129032945/http://www.cabrinigreentutoring.org:80/,archived
Cabrini Green Youth Program,https://pmc.ncbi.nlm.nih.gov/articles/PMC8962150/,live
"Cabrini-Green Tutoring Program, Inc. - Tutoring Chicago",https://mgoblue.com/,live
Cabrini-Green Youth and Family Services,https://www.greenprofiles.org/cabrini-green-extention-resident,live
Calhoun School,https://www.calhoun.org/,live
Calumet Park Boxing Club,https://web.archive.org/web/20220801141926/https:/www.tester.senate.gov/public-schedule/,archived
Calvary Covenant Church,https://www.calvaryccchicago.org/about,live
Cambodian Association,https://cambodianassociation.org/about,live
Cambodian Association of Illinois,https://cambodianassociation.org/,live
Camelot Kids,https://camelotkids.com/,live
Camp of Dreams,https://chicagoland.m14hoops.com/camps-clinics/summer/camp-of-dreams/,live
Campaign to Expand Community Schools,https://files.eric.ed.gov/fulltext/ED491689.pdf,live
CareerWorks,https://www.able2work.org/careerworks/,live
Caring World Institute,https://www.bizapedia.com/il/the-caring-world-institute.html,live
Carl Sandburg College,https://applications.sandburg.edu/apply/,live
Carole Robertson Center,https://www.carolerobertsoncenter.org/,live
Carole Robertson Center for Learning,https://www.carolerobertsoncenter.org/about-us-old/careers/,live
Carries Career Mentoring,https://www.carrier.com/us/en/careers/,live
Casa Aztlan,https://www.casaaztlan.org/,live
Casa Central Youth Services,https://mgoblue.com/,live
Casa Juan Diego Youth Center,https://www.telephonedirectories.us/Business/Youth_Organizations/IL,live
Catalyst,https://www.amd.com/en/resources/support-articles/release-notes/RN-RAD-WIN-15-7-1.html,live
Cathedral Shelter of Chicago,https://www.affordablerehabs.com/listings/cathedral-shelter-of-chicago-adult-outpatient-program/,live
Catholic Charities,https://ccaosa.org/,live
Catholic Charities Youth Services,https://www.catholiccharities.net/,live
Cedar Rapids Community School District,https://crschools.us/,live
Center For Intergrative Learning,https://journals.iugaza.edu.ps/index.php/IUGJEPS/article/download/6009/3239,live
Center Theater,https://www.lct.org/,live
Center for Family Services,https://www.centerffs.org/early-learning,live
Center for Impact Research (CIR),https://www.macfound.org/grantee/center-for-impact-research-232/,live
Center for Literacy,https://www.nonprofitlist.org/det/60557_center-for-literacy,live
Center for Urban School Improvement,https://www.macfound.org/press/press-releases/5-million-grant-awarded-to-the-university-of-chicagos-center-for-urban-school-reform,live
Centers for New Horizons,https://civicengagement.uchicago.edu/partners/centers-for-new-horizons,live
Centers for Youth Development - Agape Community Center,http://web.archive.org/web/20040518200804/www.ascg.org/journal/11Spg00/Reid.html,archived
"Centers for Youth Development, Agape Community Center",https://www.mightycause.com/organization/Agape-Community-Center,live
"Centers for Youth Development, Agape Community Center  Say Yes!",http://web.archive.org/web/20040518200804/www.ascg.org/journal/11Spg00/Reid.html,archived
Central Baptist Childrens Home,https://www.ojp.gov/pdffiles1/Digitization/64424NCJRS.pdf,live
Central Baptist Family Services INTACT,http://web.archive.org/web/20041010035310/www.arts.monash.edu.au/ncas/multimedia/gazetteer/list/melbournecity.html,archived
Central District Organizing Project - Anansis Web,https://anansis-web.com/,live
Central Illinois Light Company,https://scripophily.net/central-illinois-light-company/,live
Central States SER - Youth Programs,,not found
Central States SER Jobs for Progress,https://centralstatesser.org/,live
Centrax Corporation,https://www.bloomberg.com/profile/company/0564632D:US,unverified
Centro Comunitario Juan Diego,http://ccjuandiego.org/,live
Centro Romero Youth Learning Program,,not found
Certified Public Accountant,https://www.accounting.com/certifications/certified-public-accountant/,live
Champaign County Regional Planning,https://data.ccrpc.org/,live
"Champaign Countys Promise, Mentor Network",,not found
Champaign Unit 4 Public Schools,https://programsnotjails.com/racial-disparity-in-champaign-county/,live
Champaign Urbana School,https://mcb.illinois.edu/academics/phd-programs/living-champaign-urbana,live
Changing Childrens Worlds Foundation,https://www.symposium2018.changingchildrensworlds.org/,live
Changing Oasis,https://www.changingoasis.org/,live
Channing School,https://www.channing.co.uk/,live
Chapin Hall Center for Children at University of Chicago,https://www.mcgill.ca/crcf/files/crcf/Roundtable-PlacementofInfantsinFosterCare.pdf,live
Chapman & Cutter,https://www.chapman.com/,live
Charles A Hayes Family Investment Center,https://www.thecha.org/charles-hayes-center-fic,live
Chase,https://www.chase.com/,live
"Chase Bank, Illinois College Access Network",,not found
Chicago Access,https://www.amazon.com/Access-Chicago-5e-5th-ed/dp/0062772619,live
Chicago Access CAN TV,https://archive.org/stream/independent15foun/independent15foun_djvu.txt,live
Chicago Access Corporation,https://www.idealist.org/en/nonprofit/379ac3525e5240518daf95065f281b0f-chicago-access-corp-can-tv-chicago,live
Chicago Access Network Television (CAN-TV),https://archive.org/details/cantv?sort=creatorSorter,live
Chicago Alliance for Neighborhood Safety,https://app.candid.org/profile/7484421,live
Chicago Architecture Foundation,https://www.pinterest.com/cathybarker39/chicago-architecture-foundation/,live
Chicago Area Alternative Education League,https://acronyms.thefreedictionary.com/Chicago+Area+Alternative+Education+League,live
Chicago Area Project,https://www.chicagoareaproject.org/,live
Chicago Association,https://chicagorealtor.com/the-77-tour-of-chicagos-neighborhoods/,live
Chicago Bar Foundation,https://www.hinchilla.com/funders-us/366109584-chicago-bar-foundation,live
"Chicago Bar Foundation, Lawyers Lend A Hand Program",,not found
Chicago Bar Foundation/Lawyers Lend A Hand Program,https://web.archive.org/web/20031118173308/http://chicagobarfoundation.com:80/,archived
Chicago Board of Education,https://chicagoschoolboard.org/meetings/details/next-meeting,live
"Chicago Board of Education, Office of the Executive",https://web.archive.org/web/20200922231225/metrarail.com/about-metra/newsroom/the-signal/metra-powerhouse-f40c,archived
Chicago Botanic Garden,https://chicagobotanic.com/,live
Chicago Cares,https://www.developmentaid.org/organizations/view/355423/chicago-cares,live
"Chicago Cares , OnGoing Education Programs",https://lian-li.com/product/edge-gold/,live
Chicago Child Care Society,https://www.daycarecenterssite.com/Chicago-IL/Chicago-Child-Care-Society.html,live
Chicago Christian Industrial League,https://www.idealist.org/en/nonprofit/3123084aca794ed8911293820d124d6a-chicago-christian-industrial-league-chicago,live
Chicago Committee,https://chicagocommittee.org/programs/,live
Chicago Commons,https://www.chicagocommons.org/we-have-a-new-look/,live
Chicago Commons – Emerson House Mentoring,,not found
Chicago Commons/Mary McDowell,https://coprosperity.org/chicago,live
Chicago Connections Heartland Alliance,https://www.aquaphorus.com/,live
Chicago Department of Children and Youth Services,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
Chicago Department of Human Services,https://foursquare.com/v/department-of-human-services/4c001047daf9c9b67e34fbef,live
Chicago Department of Human Services - Chicago For Youth,https://web.archive.org/web/20080420154202/www.beyondmarriage.org/signatories.html,archived
Chicago Department of Public Health,https://www.chicago.gov/city/en/depts/cdph.html,live
Chicago Department on Aging,https://www.luc.edu/psychology/undergraduate/internshipinpsychology/psyc390previousinternshipsites/,live
Chicago Filmmakers,https://chicagofilmmakers.org/,live
Chicago Fire Department Personnel Division,https://fabf.org/Members/Annuitants,live
Chicago Foundation for Education,https://causes.benevity.org/causes/840-363429023,live
"Chicago HOPES, Chicago Public Schools",http://tabwest.blogspot.com/,live
Chicago Health & Medical Careers Program (CHAMPS),,not found
Chicago Hope,https://www.remindmagazine.com/article/29232/chicago-hope-fun-facts-anniversary/v1.0.0/device-load/,live
Chicago Hope Academy,https://schools.snap.app/chicagohopeacademy,live
Chicago House and Social Service Agency,https://www.chicagohouse.org/,live
Chicago Housing Authority,https://en-academic.com/dic.nsf/enwiki/5093458,live
Chicago Housing Authority -  Child Care,https://www.directionus.com/il/chicago/chicago-housing-authority-child-care-services-robert-taylor-heads,live
Chicago Industrial Technology Foundation,https://lian-li.com/product/edge-gold/,live
Chicago International Charter School,https://www.chicagointl.org/,live
Chicago Lawndale Amachi Mentoring Program,https://chicagolamp.org/,live
Chicago Lawyers Committee for Civil Rights Under Law,https://www.influencewatch.org/non-profit/chicago-lawyers-committee-for-civil-rights-under-law/,live
